university,academic_year,programme,degree_level,fee_status,fee_gbp,source,notes,course_code,extraction_date
Cambridge,2021/22,Modern and Medieval Languages,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413205
Cambridge,2021/22,Modern and Medieval Languages,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413206
Cambridge,2021/22,Music,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413208
Cambridge,2021/22,Music,BA,overseas,29082.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413209
Cambridge,2021/22,Natural Sciences,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413211
Cambridge,2021/22,Natural Sciences,BA,overseas,33825.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413212
Cambridge,2021/22,Philosophy,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413213
Cambridge,2021/22,Philosophy,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413214
Cambridge,2021/22,Psychological and Behavioural Sciences,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413216
Cambridge,2021/22,Psychological and Behavioural Sciences,BA,overseas,33825.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413217
Cambridge,2021/22,Theology for Ministry (BTh),BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413219
Cambridge,2021/22,Theology for Ministry (BTh),BA,overseas,22482.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413220
Cambridge,2021/22,"Theology, Religion, and Philosophy of Religion",BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413222
Cambridge,2021/22,"Theology, Religion, and Philosophy of Religion",BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413222
Cambridge,2021/22,Veterinary Medicine,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:32.413224
Cambridge,2021/22,Veterinary Medicine,BA,overseas,58038.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:32.413225
Cambridge,2022/23,"Anglo-Saxon, Norse, and Celtic",BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891276
